filename,url,data ink ratio,Number of distinct colors,Density,HR,FAR,Entropy,Feature congestion,meanH,meanS,meanV,colorfulness4,Number of edges,score,coarseness,contrast,directionality,0,L,C,H
v484_n7394_5_f5.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/v484_n7394_5_f5.png,1,1,1,29.35,2.97,2.3,3.97,0.3632,0.0135,0.8726,10.22,3.19,1.34,3.2,0.01,0.29,101,87.67400296,1.093462687,282.1970117
whoQ26.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/whoQ26.png,1,1,1,42.68,6.32,3.3,5.44,0.2935,0.057,0.9452,9.58,5.47,1.34,3.51,0.01,0.26,318,92.90436076,1.954889469,228.0480194
economist_daily_chart_490.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/economist_daily_chart_490.png,1,1,1,48.89,8.82,2.65,4.82,0.5592,0.1083,0.8634,16.87,7.39,1.32,3.42,0.01,0.29,38,83.84867012,6.723236748,236.3840422
v484_n7393_20_f1.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/v484_n7393_20_f1.png,1,3,3,75.58,26.37,4.98,10.01,0.2536,0.18,0.8604,14.14,10.19,1.32,3.62,0.06,0.27,97,81.76181582,4.966897887,56.3217171
wsj359.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/wsj359.png,3,2,2,67.42,19.19,3.24,4.99,0.1352,0.1083,0.9137,17.04,4.52,1.32,4.03,0.02,0.27,365,89.47902805,7.426621997,94.44493662
economist_daily_chart_35.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/economist_daily_chart_35.png,3,1,1,64.29,17.35,2.2,4.59,0.0697,0.0336,0.968,15.87,6.18,1.31,3.64,0.01,0.3,22,96.08608101,1.573260151,233.530569
economist_daily_chart_454.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/economist_daily_chart_454.png,3,2,1,67.07,19.61,2.65,3.68,0.5491,0.2038,0.8653,16.66,4.73,1.3,3.8,0.02,0.34,34,82.27737733,9.681413987,239.4515018
v488_n7413_3_f2.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/v488_n7413_3_f2.png,3,3,3,58.62,13.86,3.54,6.6,0.1454,0.0696,0.94,15.83,7.4,1.3,3.81,0.02,0.27,141,91.99093379,1.662013711,30.27308836
visMost645.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/visMost645.png,2,1,1,43.96,7.29,6.8,3.37,0.5924,0.4654,0.6012,16.54,7.2,1.3,4.09,0.01,0.29,240,46.80472806,24.90722569,271.9724901
economist_daily_chart_85.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/economist_daily_chart_85.png,1,1,1,65.12,18.48,2.36,4.66,0.0889,0.1036,0.9133,14.91,4.9,1.29,3.6,0.04,0.3,51,90.30966766,2.532338351,238.2234173
treasuryD05_1.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/treasuryD05_1.png,1,2,2,21.74,1.9,2.29,6.87,0.0602,0.1004,0.9058,16.08,7.19,1.29,3.44,0.05,0.3,62,87.89882538,4.141392071,302.1022421
wsj9.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/wsj9.png,1,2,1,56.1,12.77,3,4.79,0.1155,0.1311,0.9152,17.23,4.13,1.29,3.47,0.02,0.29,392,88.05748601,10.33977416,72.60190587
vis564.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/vis564.png,2,2,2,56.47,13.13,3.51,4.42,0.0964,0.0578,0.2813,14.96,9.1,1.28,3.49,0.02,0.31,176,28.88743474,3.827424807,141.7346764
v485_n7397_15_f1.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/v485_n7397_15_f1.png,2,3,1,45.35,8.25,1.78,3.75,0.0686,0.0277,0.9759,17.43,3.21,1.27,3.55,0.01,0.27,106,96.99724667,1.95305497,94.32965188
